"Figure 2. Change in Annual Heating Degree Days by State, 1955-2015 Versus 1895-1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: NOAA, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: heating degree days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
TREND,80.7057377,-188.0836066,33.55027322,-349.7237705,-304.4953552,-347.9748634,-239.1371585,-52.1579235,1.842349727,-176.7953552,-163.786612,-92.5363388,-90.55874317,-104.4371585,13.28060109,55.08114754,-421.8863388,-200.3814208,-324.8374317,-303.6284153,-374.223224,91.29699454,-68.56256831,-302.5311475,-175.1281421,-201.2685792,-349.0213115,-366.165847,-186.2002732,-321.3699454,-26.91557377,-405.1172131,-134.4562842,8.64863388,-286.7502732,-179.1546448,-392.279235,-29.12650273,-255.2808743,47.58306011,-49.02978142,-252.8478142,-335.2669399,-87.92568306,-200.2540984,9.696448087,-218.4521858,-364.8778689
1920,3013,2532,3626,3662,7966,6876,5317,896,3240,7519,6649,6177,7169,5191,4831,1940,8670,5323,7112,7592,9205,2702,5348,9302,6724,3863,8381,6131,5106,6969,3861,9811,6381,3799,6151,6469,6853,3086,8168,4108,2183,7712,8826,4881,6290,5671,8162,9213
1921,2229,2013,2796,3352,7038,5984,4385,586,2431,7046,5500,5012,6105,4365,3857,1192,8044,4348,6291,6364,8341,1894,4393,8706,5686,3351,7606,5216,4468,6013,3043,9059,5269,3015,5763,5459,6047,2352,7203,3255,1492,6822,7969,3924,6209,4568,7048,8213
1922,2243,2622,3208,3793,7784,6425,4913,588,2488,7986,6041,5527,6621,4959,4132,1371,8565,4818,6744,6932,8827,2021,4911,9691,6410,4179,8149,5706,4958,6492,3269,9732,5706,3503,6352,5948,6466,2457,8175,3423,1885,8000,8537,4341,6624,4942,7632,9302
1923,2573,2405,3324,3460,8072,6746,4983,670,2756,7510,6435,5887,6982,5051,4430,1572,8995,4929,7055,7445,9038,2283,5121,9007,6513,3919,8418,5940,5125,6856,3480,9541,6114,3591,5787,6197,6825,2664,7803,3771,2008,8005,9030,4533,5891,5270,8030,9182
1924,3087,2551,3897,3386,8281,6890,5399,866,3341,7507,7106,6587,7714,5686,5058,1974,8822,5378,7169,7954,9818,2736,5755,9471,7330,3940,8562,6271,5185,7118,3934,10200,6761,4155,5889,6686,6914,3073,8655,4377,2360,7924,9076,4997,6070,5915,8839,9459
1925,2613,2272,3397,3282,7470,6454,5062,722,2862,6792,6654,6045,7178,5159,4587,1706,8747,5093,6730,7558,9165,2369,5258,8507,6615,3594,8214,5915,4826,6703,3499,9508,6303,3593,5330,6343,6419,2715,7893,3784,2050,7295,8756,4623,5554,5379,8190,8471
1926,2966,2281,3643,2870,7550,7149,5570,882,3215,6745,6993,6451,7275,5186,4996,1877,9347,5507,7493,8040,9538,2653,5482,8514,6527,3428,9008,6525,5020,7400,3809,9499,6681,3758,4983,6812,7178,2992,7857,4190,2209,7069,9600,4979,5319,5823,8666,8516
1927,2192,2145,2992,3381,7548,6257,4785,682,2412,7387,6127,5539,6852,4939,4130,1313,8222,4734,6440,6985,9464,1931,4874,9677,6595,3564,7812,5678,4531,6439,3155,10220,5753,3336,5831,5935,6199,2342,8359,3354,1722,7368,8393,4268,6206,4966,7911,9018
1928,2941,2243,3509,3195,7759,6481,5146,845,3109,7320,6355,6058,6720,4821,4786,1877,8575,5032,6728,7338,8869,2589,5032,8976,6299,3610,8016,5887,4927,6599,3714,9130,6194,3469,5634,6228,6502,2882,7669,4066,2072,7410,8584,4658,5831,5579,7867,8946
1929,2742,2509,3794,3365,8349,6439,4836,609,2890,7986,6974,6308,7770,5658,4704,1855,8533,4842,6678,7693,9933,2531,5702,9812,7264,3752,8042,5691,5295,6585,3460,10482,6318,4074,6111,6117,6441,2682,8850,3963,2298,7892,8605,4424,6467,5374,8696,9589
1930,2906,2336,3634,3287,7910,6253,4996,884,3185,7740,6307,5824,6758,5069,4520,1901,8137,4964,6449,7094,8774,2576,5148,9075,6396,3968,7775,5719,5181,6384,3725,9387,5923,3849,6094,6060,6131,2988,7780,3983,2356,7965,8245,4602,6293,5347,7745,9053
1931,2587,2394,3129,3077,7399,5909,4556,873,2825,7358,5458,5141,5782,4482,4067,1672,7722,4485,6145,6292,7432,2275,4439,8349,5710,3866,7443,5238,5110,5944,3367,8166,5399,3298,5496,5564,5888,2633,6827,3554,2020,7605,7930,4153,5746,4868,6620,8461
1932,2598,2559,3440,3428,7902,6057,4679,593,2692,7802,6414,5833,7293,5365,4391,1694,8014,4650,6378,7052,9357,2389,5225,9322,7089,4120,7675,5438,5337,6170,3217,9840,5822,3728,5796,5824,6034,2392,8349,3727,2164,8026,8162,4237,6077,5026,8017,9303
1933,2358,2566,3051,3585,7124,6304,4848,661,2630,7392,6105,5561,6621,4497,4208,1302,8468,4775,6673,7000,9108,1976,4739,8772,6038,4163,8002,5652,5018,6392,3171,9581,5729,3116,5916,5923,6335,2423,7541,3504,1587,7614,8408,4242,6247,5036,7786,8335
1934,2813,1776,3376,2679,6447,6719,5394,800,3125,5816,6244,5926,6580,4626,4574,1669,8814,5290,7031,7366,8712,2382,4991,7644,5917,2932,8345,6119,4308,6910,3732,8697,6220,3388,4582,6407,6803,2928,7055,3944,1834,6131,8932,4780,5043,5522,7668,7484
1935,2733,2355,3399,3556,7392,6662,5258,907,2924,7567,6629,6058,7221,5025,4594,1682,8777,5217,7005,7576,9402,2423,5300,9193,6636,3961,8336,6055,4853,6876,3616,10040,6272,3588,5913,6397,6718,2790,8055,3876,1883,7343,8948,4748,6165,5429,8264,8703
1936,2862,2170,3732,3009,7373,6494,5184,764,3055,7276,6927,6341,7667,5335,4895,1915,8505,5219,6782,7645,10044,2638,5589,9198,7195,3586,8101,5924,4855,6637,3772,10642,6422,3842,5506,6374,6501,2948,8862,4152,2271,7129,8626,4786,5981,5579,8574,8747
1937,2753,2500,3756,3492,7844,6244,4997,745,3020,7512,6895,6294,7695,5715,4785,1816,7866,4986,6545,7447,9831,2517,5759,9463,7247,4195,7770,5698,5050,6436,3646,10364,6289,4176,5784,6187,6269,2853,8749,4039,2235,7598,8253,4660,6154,5522,8430,9098
1938,2378,2294,2971,3323,7338,6131,4659,694,2633,6925,5724,5256,6339,4426,4022,1534,8051,4645,6428,6650,8588,2120,4449,8682,5961,3930,7673,5471,4865,6238,3198,9143,5470,3136,5553,5805,6218,2444,7481,3443,1736,7126,8170,4201,5740,4877,7388,8396
1939,2564,2215,3231,3101,7176,6563,4825,672,2743,6768,5938,5588,6398,4543,4300,1573,8753,4753,6920,6962,8636,2261,4738,8241,5903,3647,8316,5694,4995,6656,3292,9136,5743,3285,5236,5966,6565,2532,7248,3711,1887,7110,8840,4295,5561,5025,7432,8133
1940,3280,1970,3913,2852,7300,7102,5718,1030,3494,6538,6872,6452,7475,5514,5141,2145,8786,5625,7379,7752,9287,2933,5723,8495,6978,3503,8631,6509,4810,7312,4044,9508,6705,4040,5004,6872,7072,3246,8140,4487,2304,6764,9272,5152,5282,5864,8380,8222
1941,2881,2305,3425,3182,7424,6204,4814,883,3077,6798,5957,5566,6439,4781,4460,1925,8068,4781,6462,6690,8332,2585,4822,8464,6220,3863,7776,5546,4986,6355,3630,9014,5804,3522,5146,5944,6159,2923,7454,3925,2131,7334,8423,4476,5285,5239,7298,8397
1942,2912,2285,3484,3399,7836,6299,4946,898,3144,7569,6395,5896,6996,5035,4659,1933,8044,4886,6560,7122,8724,2574,5142,9151,6586,3932,7780,5731,4926,6480,3620,9285,6053,3615,5630,6109,6286,2872,7844,4052,2081,7774,8273,4571,5817,5371,7866,8968
1943,2911,1978,3574,3085,7210,6761,5178,834,3119,7202,6840,6296,7501,5276,4860,1931,8747,5170,7025,7747,9551,2628,5536,9202,6648,3563,8557,6069,4711,6992,3685,9778,6477,3806,5721,6494,6666,2893,8038,4191,2139,6935,9127,4678,6151,5631,8452,8436
1944,2710,2605,3431,3564,7736,6492,5120,784,3028,7465,6364,5874,6918,5094,4609,1702,8291,5107,6705,7151,8522,2423,5235,8951,6724,4227,8156,5875,5262,6675,3759,9256,6097,3650,5678,6244,6356,2886,7951,3978,2053,7909,8664,4705,5830,5480,7633,9098
