"Figure 1. Trends in April Snowpack in the Western United States, 1955-2016",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: Mote and Sharp, 2016",,,
Web update: August 2016,,,
Units: percent change,,,
,,,
State,Lat,Long,Trend (%)
MT,48.32,-113.36,-30.4186
MT,48.76,-113.82,-40.3455
MT,47.68,-113.96,-6.49124
MT,45.56,-110.93,-25.1628
MT,45.73,-114.48,-18.6118
MT,45.01,-110.01,-17.6338
MT,47.27,-113.76,-21.7345
MT,47.27,-113.76,-24.3584
MT,48.3,-113.33,-46.516
MT,45.85,-112.46,-29.0308
MT,46.11,-110.47,-33.4314
MT,48.91,-115.36,-19.7375
MT,48.17,-109.65,-71.8837
MT,45.4,-110.96,-22.7147
MT,46.24,-113.77,-21.1067
MT,46.59,-113.57,-30.391
MT,47.92,-113.47,-30.556
MT,46.89,-112.5,-25.9429
MT,46.09,-113.27,-20.3133
MT,46.46,-112.29,-18.0117
MT,46.44,-112.29,-27.4949
MT,47.95,-113.75,-12.9113
MT,44.92,-111.05,-29.3282
MT,47.46,-113.52,-20.5605
MT,48.96,-114.76,-21.3268
MT,44.66,-111.09,-26.6649
MT,44.66,-111.09,-5.17893
MT,47.87,-112.93,-47.0014
MT,47.91,-112.92,-46.7603
NM,36.67,-105.37,-16.8066
NM,35.83,-105.67,-42.8026
NM,35.8,-105.8,-10.3496
NM,36.4,-105.33,-23.2687
NM,36.13,-105.53,-53.9266
NV,38.97,-114.25,-39.3422
NV,38.97,-114.28,-20.9232
NV,38.97,-114.29,-4.16085
NV,41.78,-119.62,-80.7632
NV,41.83,-115.45,-17.8367
NV,39.32,-114.62,13.3868
NV,41.76,-115.69,-39.871
NV,39.31,-117.12,1.84681
NV,39.29,-117.11,-6.61741
NV,39.46,-114.65,5.15642
NV,41.75,-117.53,-4.45724
NV,39.11,-119.89,-77.4911
NV,40.28,-115.53,-22.6154
NV,41.97,-118.19,-89.8958
NV,40.89,-115.2,-20.266
NV,41.66,-115.32,-15.7866
NV,40.86,-115.22,-48.5778
NV,41.58,-115.93,-41.9126
NV,39.08,-119.9,-41.0618
NV,41.75,-115.68,-59.5874
NV,41.67,-117.57,-3.29252
NV,40.38,-115.53,-29.962
NV,40.32,-115.56,-30.2888
NV,41.53,-116.03,-59.4694
NV,36.27,-115.67,-5.47013
NV,41.52,-117.63,-76.178
NV,40.66,-115.43,-13.1769
NV,40.65,-115.38,-30.1086
NV,40.6,-115.38,-3.98758
NV,36.31,-115.7,13.4953
NV,39.25,-119.88,-42.9509
NV,39.16,-119.9,-13.5833
NV,41.27,-116.8,-58.6851
NV,39.35,-119.88,-3.83963
NV,41.87,-115.25,2.19977
NV,36.25,-115.63,5.8029
NV,41.23,-116.03,-38.2523
NV,41.07,-115.1,-9.56307
NV,41.04,-115.1,-51.6878
OR,45.21,-117.19,-20.7152
OR,42.87,-122.17,-22.7012
OR,45.15,-118.22,-20.5368
OR,42.05,-122.85,-12.9061
OR,42.41,-122.27,-37.838
OR,45.43,-121.86,-23.607
OR,44.25,-118.52,-25.1987
OR,44.83,-118.19,-45.9483
OR,45.36,-118.47,-85.9949
OR,43.59,-122.06,-17.3893
OR,43.23,-121.81,-61.5762
OR,45.19,-118.55,-100.904
OR,44.45,-119.93,-28.1375
OR,44.45,-119.93,-45.5552
OR,43.19,-122.14,-65.0286
OR,44.57,-117.84,-19.1499
OR,44.87,-118.11,-53.4857
OR,45.56,-118.45,-65.8412
OR,42.71,-118.63,-2.9057
OR,42.38,-122.35,-48.8365
OR,42.44,-122.23,-41.6158
OR,44.76,-118.31,-67.6412
OR,45.62,-121.7,-34.9563
OR,42.48,-119.72,-93.0037
OR,45.7,-118.11,-1.42325
OR,44.42,-121.86,-47.4242
OR,43.8,-121.95,-16.6584
OR,44.39,-122.17,-50.321
OR,44.21,-118.64,-52.9751
OR,45.27,-118.85,-86.9563
OR,44.59,-121.97,-64.0975
OR,44.51,-123.56,-43.5797
OR,44.21,-121.87,-20.7428
OR,45.27,-117.69,-13.8729
OR,45.32,-121.72,-17.5747
OR,43.51,-121.98,-50.9729
OR,43.31,-122.16,-58.5735
OR,44.43,-120.34,-21.7714
OR,44.43,-120.33,-27.885
OR,42.9,-122.14,-7.03668
OR,45.04,-121.93,-50.7626
OR,45.46,-121.7,-11.4676
OR,43.9,-122.03,-19.7995
OR,43.61,-122.12,-22.1484
OR,44.44,-121.95,-74.2285
OR,42.93,-122.4,-29.4753
OR,42.96,-121.18,-33.1584
OR,42.75,-118.69,-46.3672
OR,42.07,-122.61,87.7407
OR,42.13,-120.84,-83.0218
OR,42.7,-120.8,-21.7266
OR,43.45,-122.14,-14.4938
