"Figure 4. Change in Unusually Hot Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days hotter than 95th percentile,,,
,,,
State,Lat,Long,Change in 95 percent Days
IN,38.5556,-86.4858,0
IN,38.3567,-87.5906,0
IN,41.0664,-86.2097,-13.13299233
IN,39.7594,-87.2269,0
IN,39.6042,-85.4528,0
IN,38.6158,-86.0856,-13.3540176
IN,38.6886,-85.785,-14.69940971
IN,38.9822,-85.8989,-20.89943182
IN,38.5528,-86.7944,-13.09335038
IN,38.6489,-87.1989,0
IN,41.1947,-87.0578,-19.04173983
IN,39.9961,-86.3542,0
IN,41.0267,-86.5867,-13.39258312
IA,41.0656,-92.7867,-17.60613811
IA,43.0683,-94.3053,-11.04219949
IA,41.8814,-92.2764,-12.87851662
IA,43.0603,-92.6717,-10.28132992
IA,40.7244,-95.0192,-13.60869565
IA,41.7947,-90.2639,0
IA,43.4036,-94.7472,-16.6342711
IA,41.0211,-91.9553,0
IA,42.8503,-91.8158,0
IA,43.2844,-93.6306,-10.92972321
IA,42.5836,-94.2006,-15.93350384
IA,41.3656,-93.6481,-15.92838875
IA,42.5189,-93.2536,-9.634542682
IA,42.7817,-96.1458,-15.74168798
IA,41.6381,-95.7883,0
IA,40.7053,-94.2428,0
IA,40.9486,-91.5647,-14.93094629
IA,43.0453,-92.3122,0
IA,43.43,-96.1686,0
IA,42.3969,-94.6292,-17.20076726
IA,42.6469,-95.1933,0
IA,42.0356,-92.5806,0
IA,41.2825,-91.7078,0
KS,37.1942,-99.7633,0
KS,39.5756,-95.1108,0
KS,37.2733,-99.3289,-12.52557545
KS,37.1764,-94.8397,0
KS,38.6758,-96.5097,0
KS,37.8183,-96.8444,0
KS,38.7297,-98.225,0
KS,37.8428,-94.7086,-15.42966752
KS,38.8586,-99.3358,0
KS,39.6678,-95.52,0
KS,37.2364,-95.7003,0
KS,37.9411,-101.2492,11.46930946
KS,38.1817,-99.0994,0
KS,38.9583,-95.2514,0
KS,39.3256,-94.9189,0
KS,37.0222,-100.9294,0
KS,39.1972,-96.5814,0
KS,38.3772,-97.6097,0
KS,39.1247,-97.7047,0
KS,39.7411,-99.8361,0
KS,39.8189,-100.5342,0
KS,38.8875,-94.7603,0
KS,38.6133,-95.2808,0
KS,39.7675,-101.8067,0
KS,38.4747,-100.9175,0
KS,37.1317,-96.1861,0
KS,39.7772,-98.7783,0
KS,39.0147,-99.8722,15.60869565
KY,38.4536,-82.6131,0
KY,36.8825,-83.8819,-13.71625874
KY,37.5733,-84.2908,-17.20096154
KY,38.1228,-83.5328,0
KY,38.2022,-84.8825,-19.53787255
KY,37.2592,-85.5022,0
KY,37.7558,-87.6456,0
KY,36.8492,-87.5206,0
KY,37.5108,-86.2892,-18.27237852
KY,38.2,-85.2,0
KY,38.6586,-84.6106,0
LA,31.3206,-92.4611,0
LA,30.7094,-90.525,0
LA,32.7314,-91.9144,-14.40432784
LA,30.9594,-92.1786,0
LA,32.5133,-92.3486,0
LA,30.5272,-90.1114,0
LA,30.0719,-91.0278,-52.71483376
LA,29.8233,-91.5442,-33.41120012
LA,30.4183,-92.0442,0
LA,29.6408,-90.8161,0
LA,30.2003,-92.6642,-20.10997442
LA,32.9081,-93.7956,0
LA,31.9497,-91.2336,20.63682864
LA,32.0997,-91.7022,0
ME,45.6603,-69.812,8.19543603
ME,44.9197,-69.2417,0
ME,44.9067,-66.9919,11.08597727
ME,44.6889,-70.1567,-14.41048593
ME,44.2203,-69.7889,0
ME,44.1,-70.2167,12.85858586
ME,45.6503,-68.705,0
ME,46.6539,-68.0089,0
ME,45.1569,-67.4044,0
MD,39.0303,-76.9314,0
MD,39.2167,-76.0519,0
MD,38.9689,-76.8042,0
MD,39.0847,-76.9003,0
MD,39.4133,-79.4,0
MD,38.2122,-75.6822,0
MD,38.7144,-76.1897,0
MD,38.365,-75.5892,0
MD,39.3333,-76.8667,0
MA,42.3861,-72.5375,0
MA,42.4833,-71.2833,0
MA,42.2122,-71.1136,0
MA,42.6992,-71.1658,0
MA,41.6333,-70.9333,22.23117972
MA,41.9819,-70.6961,0
MA,42.5242,-71.1264,-8.463157895
MA,41.9003,-71.0658,10.56660183
MI,41.9164,-84.0158,-11.02429668
MI,42.58,-85.7892,-15.64271347
MI,43.3864,-84.6492,0
MI,42.2947,-83.7108,0
MI,43.7072,-85.4822,0
MI,46.5192,-87.9858,0
MI,45.6528,-84.4725,0
MI,41.9622,-84.9925,0
MI,44.2839,-83.5036,0
MI,43.6747,-86.4239,-13.85590893
MI,41.9353,-84.6411,0
MI,45.7858,-88.0842,0
MI,46.4656,-90.1892,-12.64705882
MI,43.5858,-84.7697,-8.696699484
MI,46.4122,-86.6625,-13.87440549
MI,46.3286,-85.5033,0
MI,43.0161,-84.18,0
MI,42.4014,-86.2833,-7.749855941
MI,46.0556,-88.6275,0
MN,47.2992,-96.5161,-9.749306783
MN,43.6064,-93.3019,-9.281329923
MN,48.3311,-96.8253,0
MN,48.7094,-94.5869,0
MN,44.8,-93.5833,0
MN,46.7047,-92.5253,0
MN,46.8372,-95.8372,8.994129096
MN,43.6447,-94.4656,0
MN,44.6697,-93.17,-11.73968323
MN,47.5636,-95.7244,-13.05495344
MN,43.7047,-92.5644,0
MN,47.2436,-93.4975,8.727621483
MN,47.2256,-95.1919,0
MN,47.2467,-94.2228,0
MN,45.1219,-95.9269,8.410485934
MN,44.9342,-95.7461,0
MN,45.8775,-93.3147,-15.75959079
MN,45.5903,-95.8747,-8.281329923
MN,44.3006,-94.4897,-21.79622696
MN,46.6694,-94.1089,0
MN,44.0139,-96.3258,-8.918158568
MN,48.8486,-95.7675,-12.74768039
MN,44.3222,-93.9656,-13.4629156
MN,46.7953,-93.3211,0
MN,47.0258,-91.6653,0
MN,47.0744,-94.57,0
MN,43.7639,-94.1661,0
MN,44.2992,-92.6661,-18.1713555
MS,33.83,-88.5214,-23.20734269
MS,34.3061,-89.9806,-16.18030691
MS,34.6344,-88.5622,-16.82229803
MS,31.5447,-90.4581,0
MS,32.6714,-90.0361,-13.6337703
MS,34.1864,-90.5572,-35.33248082
MS,31.2503,-89.8361,0
MS,34.8792,-88.6178,-14.95512329
MS,32.36,-89.4208,0
MS,33.3592,-91.06,0
MS,31.2547,-89.3392,-20.49744246
MS,34.8039,-90.0103,0
