"Figure 2. Change in the Frequency of River Flooding in the United States, 1965–2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Slater and Villarini, 2016",,
Web update: August 2016,,
Units: slope value,,
,,
latitude,longitude,value
35.77725369,-105.6580725,-0.004795986
39.59637495,-106.2650264,-0.004642915
37.48659935,-121.2091026,-0.004639675
41.1112571,-122.7055788,-0.004576401
37.70820958,-96.22360237,-0.004539862
41.37762652,-123.4775582,-0.004498927
33.63113647,-116.3922342,-0.004462627
29.42856679,-99.9972871,-0.00446144
34.16086787,-111.6929235,-0.004381201
47.78723694,-102.7685256,-0.004381201
36.50836055,-105.5308423,-0.004362482
38.64368745,-83.21573648,-0.004355227
46.84046563,-115.6207033,-0.004236207
29.97938297,-97.91000511,-0.004234057
34.62425473,-86.30637373,-0.004206521
39.64581933,-106.3822512,-0.004130271
40.49633109,-112.5744028,-0.004090878
41.58524549,-106.2227909,-0.003958732
48.82292454,-120.1459245,-0.003949636
39.59443117,-105.9725158,-0.003884367
33.37595623,-92.77710581,-0.003848624
46.47833333,-116.2575,-0.003811211
37.33942723,-112.6043769,-0.003790057
39.6258193,-106.2780823,-0.003755163
44.54012357,-122.4359155,-0.003688877
36.24579648,-121.7732872,-0.003677368
36.23916667,-81.82222222,-0.00358215
36.18333333,-77.87611111,-0.003572367
31.5362873,-92.40847139,-0.003555385
39.81799167,-91.5177,-0.003540384
37.80290223,-80.04700431,-0.003423489
45.61986694,-117.7265892,-0.003401018
46.97761606,-121.168696,-0.003350046
30.61602231,-90.24869545,-0.003305797
35.06416667,-77.46138889,-0.003259419
36.00055556,-80.74555556,-0.00324935
41.47368336,-77.23080907,-0.003179913
44.39179225,-122.4975817,-0.003005531
41.57533955,-78.69224919,-0.00296698
39.81254461,-86.95389884,-0.002961939
37.67315699,-82.28014077,-0.002874797
41.63117349,-78.57668985,-0.002770152
40.21258144,-77.92527644,-0.002770152
38.63706254,-78.852803,-0.002704609
