"Figure 5. Change in Unusually Cold Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days colder than 5th percentile,,,
,,,
State,Lat,Long,Change in 5 percent Days
KS,39.5756,-95.1108,-7.270101483
KS,37.2733,-99.3289,-8.332480818
KS,37.1764,-94.8397,0
KS,38.6758,-96.5097,0
KS,37.8183,-96.8444,0
KS,38.7297,-98.225,0
KS,37.8428,-94.7086,0
KS,38.8586,-99.3358,-10.63043478
KS,39.6678,-95.52,-7.148337596
KS,37.2364,-95.7003,0
KS,37.9411,-101.2492,-9.487212276
KS,38.1817,-99.0994,0
KS,38.9583,-95.2514,0
KS,39.3256,-94.9189,0
KS,37.0222,-100.9294,0
KS,39.1972,-96.5814,0
KS,38.3772,-97.6097,0
KS,39.1247,-97.7047,0
KS,39.7411,-99.8361,0
KS,39.8189,-100.5342,0
KS,38.8875,-94.7603,0
KS,38.6133,-95.2808,0
KS,39.7675,-101.8067,0
KS,38.4747,-100.9175,0
KS,37.1317,-96.1861,0
KS,39.7772,-98.7783,0
KS,39.0147,-99.8722,0
KY,38.4536,-82.6131,0
KY,36.8825,-83.8819,0
KY,37.5733,-84.2908,-9.464056777
KY,38.1228,-83.5328,-6.849104859
KY,38.2022,-84.8825,0
KY,37.2592,-85.5022,-8.049872123
KY,37.7558,-87.6456,0
KY,36.8492,-87.5206,-8.210885774
KY,37.5108,-86.2892,0
KY,38.2,-85.2,12.85858586
KY,38.6586,-84.6106,-12.91534872
LA,31.3206,-92.4611,-6.742966752
LA,30.7094,-90.525,0
LA,32.7314,-91.9144,9.171655233
LA,30.9594,-92.1786,-12.02945646
LA,32.5133,-92.3486,0
LA,30.5272,-90.1114,0
LA,30.0719,-91.0278,0
LA,29.8233,-91.5442,-7.283983798
LA,30.4183,-92.0442,0
LA,29.6408,-90.8161,-6.32118831
LA,30.2003,-92.6642,0
LA,32.9081,-93.7956,0
LA,31.9497,-91.2336,-8.476982097
LA,32.0997,-91.7022,0
ME,45.6603,-69.812,0
ME,44.9197,-69.2417,0
ME,44.9067,-66.9919,0
ME,44.6889,-70.1567,0
ME,44.2203,-69.7889,0
ME,44.1,-70.2167,0
ME,45.6503,-68.705,0
ME,46.6539,-68.0089,-5.34398977
ME,45.1569,-67.4044,0
MD,39.0303,-76.9314,-16.64238079
MD,39.2167,-76.0519,0
MD,38.9689,-76.8042,0
MD,39.0847,-76.9003,0
MD,39.4133,-79.4,0
MD,38.2122,-75.6822,-14.56241033
MD,38.7144,-76.1897,0
MD,38.365,-75.5892,0
MD,39.3333,-76.8667,0
MA,42.3861,-72.5375,0
MA,42.4833,-71.2833,-15.48155895
MA,42.2122,-71.1136,0
MA,42.6992,-71.1658,-6.491048593
MA,41.6333,-70.9333,14.54412045
MA,41.9819,-70.6961,0
MA,42.5242,-71.1264,-23.56449077
MA,41.9003,-71.0658,-11.51230897
MI,41.9164,-84.0158,0
MI,42.58,-85.7892,0
MI,43.3864,-84.6492,0
MI,42.2947,-83.7108,0
MI,43.7072,-85.4822,0
MI,46.5192,-87.9858,0
MI,45.6528,-84.4725,0
MI,41.9622,-84.9925,0
MI,44.2839,-83.5036,0
MI,43.6747,-86.4239,0
MI,41.9353,-84.6411,0
MI,45.7858,-88.0842,0
MI,46.4656,-90.1892,0
MI,43.5858,-84.7697,-10.12193546
MI,46.4122,-86.6625,-9.021089275
MI,46.3286,-85.5033,0
MI,43.0161,-84.18,0
MI,42.4014,-86.2833,0
MI,46.0556,-88.6275,15.38235294
